publication_date,work,workLabel,researchers,researchersUrl
2022-08-01,http://www.wikidata.org/entity/Q112759174,Earthworm invasion shifts trophic niches of ground-dwelling invertebrates in a North American forest,Anton Potapov,../authors/Q59062025
2022-07-06,http://www.wikidata.org/entity/Q112942500,"Ontology Development Kit: a toolkit for building, maintaining, and standardising biomedical ontologies",Melissa Haendel,../authors/Q28368079
2022-06-16,http://www.wikidata.org/entity/Q112605861,High exposure of global tree diversity to human pressure,"Jens Kattge, Brian S. Maitner, Brian J. Enquist","../authors/Q56556463,Q89748248,Q47172478"
2022-05-26,http://www.wikidata.org/entity/Q112143478,The LOTUS initiative for open knowledge management in natural products research,Daniel Mietchen,../authors/Q20895785
2022-05-15,http://www.wikidata.org/entity/Q112276777,Diets maintained in a changing world: Does land-use intensification alter wild bee communities by selecting for flexible generalists?,Alexander Keller,../authors/Q21517397
2022-05-02,http://www.wikidata.org/entity/Q111804051,Do amino and fatty acid profiles of pollen provisions correlate with bacterial microbiomes in the mason bee Osmia bicornis?,Alexander Keller,../authors/Q21517397
2022-04-30,http://www.wikidata.org/entity/Q112304469,Wild bee larval food composition in five European cities,Alexander Keller,../authors/Q21517397
2022-04-28,http://www.wikidata.org/entity/Q112664009,Phylogenetic relatedness of food plants reveals highest insect herbivore specialization at intermediate temperatures along a broad climatic gradient,Alexander Keller,../authors/Q21517397
2022-04-19,http://www.wikidata.org/entity/Q112822775,The Clinical Variant Analysis Tool: Analyzing the evidence supporting reported genomic variation in clinical practice,Melissa Haendel,../authors/Q28368079
2022-04-18,http://www.wikidata.org/entity/Q111838429,A review of the heterogeneous landscape of biodiversity databases: Opportunities and challenges for a synthesized biodiversity knowledge base,"Rachael V. Gallagher, Brian S. Maitner, Brian J. Enquist","../authors/Q62558788,Q89748248,Q47172478"
2022-04-11,http://www.wikidata.org/entity/Q112799135,Fire‐related threats and transformational change in Australian ecosystems,Rachael V. Gallagher,../authors/Q62558788
2022-04-09,http://www.wikidata.org/entity/Q112799133,Assessing the vulnerability of plant functional trait strategies to climate change,Rachael V. Gallagher,../authors/Q62558788
2022-04-07,http://www.wikidata.org/entity/Q112759180,"Multifunctionality of belowground food webs: resource, size and spatial energy channels",Anton Potapov,../authors/Q59062025
2022-04-07,http://www.wikidata.org/entity/Q112664041,Efficient Permutation-based Genome-wide Association Studies for Normal and Skewed Phenotypic Distributions,Markus Ankenbrand,../authors/Q29076435
2022-04-04,http://www.wikidata.org/entity/Q111507314,WikiProject Clinical Trials for Wikidata,Daniel Mietchen,../authors/Q20895785
2022-04-01,http://www.wikidata.org/entity/Q112795271,Towards species‐level forecasts of drought‐induced tree mortality risk,Rachael V. Gallagher,../authors/Q62558788
2022-04-01,http://www.wikidata.org/entity/Q112664010,Critical links between biodiversity and health in wild bee conservation,Alexander Keller,../authors/Q21517397
2022-03-31,http://www.wikidata.org/entity/Q111446708,Tropical tree growth driven by dry-season climate variability,Brian J. Enquist,../authors/Q47172478
2022-03-30,http://www.wikidata.org/entity/Q112527187,Tropical land use alters functional diversity of soil food webs and leads to monopolization of the detrital energy channel,Anton Potapov,../authors/Q59062025
2022-03-27,http://www.wikidata.org/entity/Q112759183,Multifunctionality of belowground food webs,Anton Potapov,../authors/Q59062025
2022-03-27,http://www.wikidata.org/entity/Q112759182,Global monitoring of soil animal communities using a common methodology,Anton Potapov,../authors/Q59062025
2022-03-25,http://www.wikidata.org/entity/Q111416341,"Biolink Model: A Universal Schema for Knowledge Graphs in Clinical, Biomedical, and Translational Science",Melissa Haendel,../authors/Q28368079
2022-03-22,http://www.wikidata.org/entity/Q111483757,A formalization of one of the main claims of “Creative Commons licenses and the non-commercial condition: Implications for the re-use of biodiversity information” by Hagedorn et al. 2011,Daniel Mietchen,../authors/Q20895785
2022-03-22,http://www.wikidata.org/entity/Q111457523,A formalization of one of the main claims of “Cortex reorganization of Xenopus laevis eggs in strong static magnetic fields” by Mietchen et al. 20051,Daniel Mietchen,../authors/Q20895785
2022-03-20,http://www.wikidata.org/entity/Q112664011,"Using a combination of CRISPR/Cas9, behavioural experiments and functional analysis to characterise taste receptors in honeybees",Alexander Keller,../authors/Q21517397
2022-03-19,http://www.wikidata.org/entity/Q112800520,Tracking habitat or testing its suitability? Similar distributional patterns can hide very different histories of persistence versus nonequilibrium dynamics,Maurizio Rossetto,../authors/Q26714687
2022-03-15,http://www.wikidata.org/entity/Q111245248,SKG4EOSC - Scholarly Knowledge Graphs for EOSC: Establishing a backbone of knowledge graphs for FAIR Scholarly Information in EOSC,Daniel Mietchen,../authors/Q20895785
2022-03-11,http://www.wikidata.org/entity/Q112645694,Implementation of Zebrafish Ontologies for Toxicology Screening,Anne Thessen,../authors/Q47503085
2022-03-08,http://www.wikidata.org/entity/Q112800911,More than what they eat: uncoupled biophysical constraints underlie geographic patterns of herbivory,Vigdis Vandvik,../authors/Q42561055
2022-03-08,http://www.wikidata.org/entity/Q112271331,Plant-arthropod interactions of an endangered California lupine,Katja Seltmann,../authors/Q6069153
